iter	Passed	Remaining
450	1078	1312
451	1080	1310
452	1082	1307
453	1085	1305
454	1087	1302
455	1089	1299
456	1091	1297
457	1094	1294
458	1096	1292
459	1098	1289
460	1101	1287
461	1104	1285
462	1106	1283
463	1108	1280
464	1111	1278
465	1113	1275
466	1116	1274
467	1118	1271
468	1120	1268
469	1122	1266
470	1125	1263
471	1127	1261
472	1129	1258
473	1132	1256
474	1134	1253
475	1136	1251
476	1138	1248
477	1140	1245
478	1143	1243
479	1146	1241
480	1148	1239
481	1150	1236
482	1152	1233
483	1154	1231
484	1156	1228
485	1159	1226
486	1162	1224
487	1164	1221
488	1166	1219
489	1168	1216
490	1172	1215
491	1175	1213
492	1177	1211
493	1179	1208
494	1181	1205
495	1184	1203
496	1186	1200
497	1188	1197
498	1190	1195
499	1193	1193
500	1195	1190
501	1197	1188
502	1200	1185
503	1202	1183
504	1204	1181
505	1208	1179
506	1210	1176
507	1212	1174
508	1214	1171
509	1216	1169
510	1218	1166
511	1221	1164
512	1223	1161
513	1225	1159
514	1227	1156
515	1229	1153
516	1232	1151
517	1234	1148
518	1236	1146
519	1239	1143
520	1241	1141
521	1243	1138
522	1245	1136
523	1247	1133
524	1249	1130
525	1252	1128
526	1254	1125
527	1256	1123
528	1258	1120
529	1260	1117
530	1262	1115
531	1264	1112
532	1267	1110
533	1269	1107
534	1271	1105
535	1273	1102
536	1275	1099
537	1277	1097
538	1279	1094
539	1282	1092
540	1285	1090
541	1287	1087
542	1289	1085
543	1291	1082
544	1293	1079
545	1295	1077
546	1298	1075
547	1300	1072
548	1302	1069
549	1304	1067
550	1306	1064
551	1308	1061
552	1310	1059
553	1313	1057
554	1315	1054
555	1317	1052
556	1319	1049
557	1321	1046
558	1323	1044
559	1325	1041
560	1328	1039
561	1331	1037
562	1333	1034
563	1335	1032
564	1337	1029
565	1339	1026
566	1341	1024
567	1343	1022
568	1346	1019
569	1348	1017
570	1350	1014
571	1352	1011
572	1354	1009
573	1356	1006
574	1359	1004
575	1361	1002
576	1363	999
577	1365	996
578	1367	994
579	1369	991
580	1371	989
581	1374	987
582	1376	984
583	1378	982
584	1380	979
585	1382	976
586	1385	974
587	1387	971
588	1389	969
589	1392	967
590	1394	964
591	1396	962
592	1398	959
593	1400	957
594	1402	954
595	1405	952
596	1407	949
597	1409	947
598	1411	944
599	1413	942
600	1415	939
601	1417	937
602	1420	934
603	1422	932
604	1424	930
605	1426	927
606	1428	924
607	1430	922
608	1432	919
609	1435	918
610	1437	915
611	1440	912
612	1442	910
613	1444	907
614	1446	905
615	1448	902
616	1451	900
617	1453	898
618	1455	895
619	1457	893
620	1459	890
621	1461	888
622	1463	885
623	1466	883
624	1468	881
625	1470	878
626	1472	876
627	1474	873
628	1476	871
629	1479	868
630	1482	866
631	1484	864
632	1486	861
633	1488	859
634	1490	856
635	1492	854
636	1495	851
637	1498	849
638	1500	847
639	1502	844
640	1504	842
641	1506	839
642	1508	837
643	1510	834
644	1513	832
645	1515	830
646	1517	828
647	1519	825
648	1521	822
649	1523	820
650	1525	817
651	1528	815
652	1530	813
653	1532	810
