iter	RMSE
0	170.1822598
1	160.0324604
2	152.0794397
3	144.5294269
4	138.1838691
5	132.0245707
6	126.7798183
7	122.9740725
8	116.2450028
9	113.3896957
10	107.9311449
11	104.8439386
12	100.2839216
13	97.95874736
14	95.75499289
15	94.24189776
16	90.39040764
17	88.670567
18	86.98593038
19	83.50090087
20	82.45834177
21	81.02400462
22	80.25516866
23	79.61493294
24	77.16936444
25	74.84107139
26	72.92002508
27	72.42343892
28	71.52258295
29	70.45863
30	68.85824025
31	67.7367008
32	66.65571999
33	66.19457567
34	65.60542817
35	64.84748983
36	64.52213878
37	63.65274091
38	63.0390694
39	62.73856472
40	62.05908402
41	61.81089366
42	61.61437182
43	61.26946782
44	60.11146302
45	58.78925234
46	57.92478245
47	57.67765171
48	56.88931871
49	56.57448407
50	55.67935688
51	55.13743918
52	54.87712756
53	54.74780971
54	54.58370931
55	54.46098244
56	53.92763412
57	53.72255421
58	53.43251258
59	53.25789256
60	52.81008415
61	52.66227344
62	52.41663768
63	51.98780965
64	51.76738081
65	51.33002766
66	51.22038864
67	50.9223421
68	50.82436013
69	50.68103318
70	50.54592916
71	50.42673677
72	50.29378759
73	50.22062561
74	50.16821184
75	50.02534737
76	49.8145219
77	49.63019288
78	49.52345989
79	49.24154519
80	49.06693903
81	48.99591456
82	48.92515794
83	48.65028262
84	48.45852307
85	48.20694897
86	48.10517868
87	48.00498943
88	47.96596648
89	47.68607139
90	47.55898979
91	47.27098319
92	47.04791619
93	46.93729764
94	46.77215967
95	46.60508407
96	46.45427789
97	46.26416995
98	46.13195768
99	46.02542803
100	45.91994401
101	45.81275418
102	45.67830903
103	45.58381197
104	45.54831091
105	45.32541119
106	45.0924801
107	44.95660829
108	44.81218367
109	44.71792951
110	44.59531705
111	44.48681414
112	44.37391592
113	44.17485648
114	44.04349666
115	43.96226357
116	43.82575138
117	43.74394369
118	43.6346717
119	43.44379124
120	43.31293069
121	43.21231017
122	43.14620064
123	43.0819441
124	43.01336845
125	42.92268662
126	42.85658677
127	42.7294711
128	42.58342518
129	42.50094886
130	42.42721779
131	42.34166135
132	42.2696988
133	42.21147305
134	42.12518576
135	42.00069447
136	41.97055702
137	41.83261601
138	41.72699664
139	41.6900559
140	41.63224637
141	41.552418
142	41.41935986
143	41.36786261
144	41.22943997
145	41.16689348
146	41.08638388
147	40.9873226
148	40.90741697
149	40.81716719
150	40.75223775
151	40.72272294
152	40.65562061
153	40.60346863
154	40.49127369
155	40.35524356
156	40.27973532
157	40.1855726
158	40.12874823
159	40.05465284
160	40.03509313
161	39.97044949
162	39.8487225
